symbol,name,mode,core_group,scan_source,market_phase,side,shares,entry_timestamp_utc,exit_timestamp_utc,entry_price,exit_price,exit_reason,confidence,broker_parent_order_id,pnl,outcome
BITF,Bitfarms,third,non_core,SCHEDULED,AFTERNOON,SELL,259.0,2026-03-27T18:10:01.348784+00:00,2026-03-27T18:35:05.560769+00:00,1.925,1.95,STOP_HIT,70.0,8a548fcc-503c-4fdf-bac9-2bb0bd566f82,-6.475,LOSS
QBTS,D-Wave Quantum,fourth,non_core,SCHEDULED,MIDDAY,SELL,36.0,2026-03-27T17:20:00.949657+00:00,2026-03-27T18:40:08.836025+00:00,13.87,13.96,STOP_HIT,70.0,6fe01937-3a60-4ae9-be9a-79ffdf49d1e4,-3.24,LOSS
IONQ,IonQ,fourth,non_core,SCHEDULED,AFTERNOON,SELL,18.0,2026-03-27T18:20:01.504748+00:00,2026-03-27T18:40:10.752073+00:00,27.7,27.89,STOP_HIT,70.0,1e4bc33d-9027-4ea1-98ce-79d3b9cf16a8,-3.42,LOSS
RKLB,Rocket Lab,third,non_core,SCHEDULED,AFTERNOON,SELL,8.0,2026-03-27T18:10:01.348784+00:00,2026-03-27T18:45:04.363370+00:00,60.72,61.29,STOP_HIT,70.0,97f9b690-a423-4ebf-8841-a6896720c46a,-4.56,LOSS
NVDA,NVIDIA,core_one,core,SCHEDULED,MIDDAY,SELL,2.0,2026-03-27T16:30:01.612954+00:00,2026-03-27T18:55:03.392037+00:00,168.815,167.47,TARGET_HIT,89.0,dd47e46f-10be-4bf2-ad16-1d2a42389a92,2.69,WIN
NIO,NIO,primary,non_core,SCHEDULED,MIDDAY,SELL,93.0,2026-03-27T17:50:01.546774+00:00,2026-03-27T19:05:04.256722+00:00,5.375,5.32,TARGET_HIT,80.0,3b43534e-99e8-4819-aba8-c62e5a087dd1,5.115,WIN
RIVN,Rivian,primary,non_core,SCHEDULED,POWER_HOUR,SELL,33.0,2026-03-27T19:50:01.520754+00:00,2026-03-27T19:55:07.030386+00:00,14.715,14.78,STOP_HIT,100.0,23b1ea66-5b84-4504-9dc9-e358e3ba1b72,-2.145,LOSS
QBTS,D-Wave Quantum,fourth,non_core,SCHEDULED,AFTERNOON,SELL,36.0,2026-03-27T19:20:01.517793+00:00,2026-03-27T20:00:06.147711+00:00,13.82,13.9,STOP_HIT,70.0,ced1f2a9-0577-4e95-a274-da719b9472dc,-2.88,LOSS
SNAP,Snap,primary,non_core,SCHEDULED,POWER_HOUR,BUY,126.0,2026-03-27T19:50:01.520754+00:00,2026-03-27T20:00:08.148465+00:00,3.955,3.92,STOP_HIT,80.0,e0a967c4-e854-480b-ad32-06f4ba68f8ec,-4.41,LOSS
NIO,NIO,primary,non_core,SCHEDULED,POWER_HOUR,SELL,94.0,2026-03-27T19:50:01.520754+00:00,2026-03-27T20:00:08.726810+00:00,5.3,5.33,STOP_HIT,80.0,a02c1013-ed7f-455f-882e-68d2f7003d89,-2.82,LOSS
